نفحة,5000,Income,,10/3/2024,,,42
تجربة مواصلات,25,Expense,Liabilities,10/7/2024,,,15
خصم من البنك,50,Expense,Liabilities,10/7/2024,,,47
,50,Expense,Charity,10/7/2024,,Charity,
مواصلات,32,Expense,Liabilities,10/9/2024,,,15
تجربة مواصلات,47.5,Expense,Liabilities,10/10/2024,,,
,100,Expense,Charity,10/9/2024,,Charity,
elcoach transfer,200,Expense,Spendings,10/10/2024,,Fitness,26
موز,45,Expense,Spendings,10/10/2024,,,9
اندومي كوري,90,Expense,Spendings,10/12/2024,,,9
مواصلات الشغل,28,Expense,Liabilities,10/13/2024,,Work,15
عصير,12,Expense,Spendings,10/13/2024,,,9
مواصلات الشغل,28.5,Expense,Liabilities,10/14/2024,,Work,15
عصير,50,Expense,Spendings,10/14/2024,,,9
مواصلات الشغل,18,Expense,Liabilities,10/15/2024,,Work,15
بسكويت ,37,Expense,Spendings,10/15/2024,,,
مواصلات الشغل ,18.5,Expense,Liabilities,10/16/2024,,Work,15
سندوتش كفتة,15,Expense,Spendings,10/16/2024,,,9
,1300,Expense,Charity,10/16/2024,,,
مواصلات الشغل ,18,Expense,Liabilities,10/17/2024,,Work,15
مواصلات,30,Expense,Liabilities,10/18/2024,,,15
خروجة,138,Expense,Spendings,10/18/2024,,,11
بطارية,25,Expense,Spendings,10/19/2024,,,
مواصلات الشغل ,20,Expense,Liabilities,10/20/2024,,Work,15
مواصلات الشغل,8.5,Expense,Liabilities,10/21/2024,,Work,15
مستيكة,10,Expense,Spendings,10/21/2024,,,
مواصلات الشغل,8.5,Expense,Liabilities,10/22/2024,,Work,15
احتفال,325,Expense,Spendings,10/22/2024,,,11
مواصلات الشغل,8.5,Expense,Liabilities,10/23/2024,,Work,15
مصروف,1500,Income,,10/24/2024,,,42
مواصلات الشغل,20,Expense,Liabilities,10/24/2024,,Work,15
مزيل عرق,90,Expense,Liabilities,10/25/2024,,Health,26
مواصلات,52,Expense,Liabilities,10/26/2024,,,15
مياه,30,Expense,Liabilities,10/26/2024,,,
مواصلات الشغل,20.5,Expense,Liabilities,10/27/2024,,Work,15
شيبسي,25,Expense,Spendings,10/27/2024,,,
مواصلات الشغل,20,Expense,Liabilities,10/28/2024,,Work,15
مواصلات الشغل,20,Expense,Liabilities,10/29/2024,,Work,15
مواصلات,22.5,Expense,Liabilities,10/30/2024,,,15
إكلير,50,Expense,Spendings,10/30/2024,,,
Salary,3995,Income,,10/31/2024,,,43
مواصلات,86.5,Expense,Liabilities,10/31/2024,,,15
Vodafone Internet,85,Expense,Liabilities,10/31/2024,,,5
فاكهة,105,Expense,Spendings,10/31/2024,,,9
البدلة,2000,Income,Spendings,11/2/2024,,,22
مواصلات الشغل,20,Expense,Liabilities,11/3/2024,,Work,15
جزء من البنزين,65,Expense,Liabilities,11/2/2024,,,14
بن ابوعوف 500 جم,294,Expense,Spendings,11/3/2024,,Coffee,10
مواصلات الشغل,30.5,Expense,Liabilities,11/4/2024,,Work,15
مواصلات الشغل,8.5,Expense,Liabilities,11/5/2024,,Work,15
gift,890,Expense,Spendings,11/5/2024,,,41
عصير,75,Expense,Spendings,11/5/2024,,,9
مواصلات الشغل,20,Expense,Liabilities,11/6/2024,,Work,15
,50,Expense,Charity,11/6/2024,,Charity,
مواصلات الشغل,20,Expense,Liabilities,11/7/2024,,Work,15
جنواز,225,Expense,Spendings,11/7/2024,,,9
الفستان,5000,Expense,Savings,11/7/2024,,Engagement,41
,50,Expense,Charity,11/8/2024,,Charity,
مواصلات,11,Expense,Liabilities,11/8/2024,,,15
شيكولاتة وزبيب,270,Expense,Spendings,11/8/2024,,,9
تورتة,320,Expense,Savings,11/9/2024,,,41
ورد,70,Expense,Savings,11/9/2024,,,41
مواصلات,11,Expense,Liabilities,11/9/2024,,,15
الفستان,3000,Expense,Savings,11/9/2024,,Engagement,41
مواصلات الشغل,20,Expense,Liabilities,11/10/2024,,Work,15
,10000,Income,,11/10/2024,,,42
مواصلات الشغل,20,Expense,Liabilities,11/11/2024,,Work,15
Photographer,1500,Expense,Savings,11/11/2024,,Engagement,
,50,Expense,Charity,11/11/2024,,Charity,
,20,Expense,Spendings,11/11/2024,,,
مواصلات الشغل,20,Expense,Liabilities,11/12/2024,,Work,15
مواصلات الشغل,11,Expense,Liabilities,11/13/2024,,Work,15
مواصلات الشغل,20,Expense,Liabilities,11/14/2024,,Work,15
فريسكا,30,Expense,Spendings,11/13/2024,,,9
ساندويتش شاورما,70,Expense,Spendings,11/13/2024,,,9
مواصلات الشغل,20,Expense,Liabilities,11/14/2024,,Work,15
فريسكا,50,Expense,Spendings,11/14/2024,,,9
,150,Expense,Charity,11/15/2024,,Charity,
عزومة,715,Expense,Spendings,11/15/2024,,,41
فطار,100,Expense,Spendings,11/16/2024,,,9
مواصلات الشغل,22.5,Expense,Liabilities,11/17/2024,,Work,15
cups + biscuits,15,Expense,Spendings,11/17/2024,,Work,
مواصلات الشغل,23.5,Expense,Liabilities,11/18/2024,,Work,15
nescafe,16,Expense,Spendings,11/18/2024,,Work,
مواصلات الشغل,20,Expense,Liabilities,11/19/2024,,Work,15
مواصلات الشغل,20,Expense,Liabilities,11/20/2024,,Work,15
nescafe,18,Expense,Spendings,11/20/2024,,Work,
مواصلات الشغل,20.5,Expense,Liabilities,11/21/2024,,Work,15
freska,10,Expense,Spendings,11/21/2024,,,9
USD Exchange,4962,Expense,Savings,11/22/2024,,,48
,100,Income,Savings,11/22/2024,USD,,48
qwider,400,Expense,Spendings,11/23/2024,,,41
,100,Expense,Charity,11/23/2024,,Charity,
مواصلات,118,Expense,Liabilities,11/23/2024,,,15
حجز صينية الشبكة,300,Expense,Spendings,11/23/2024,,Engagement,
مواصلات الشغل,20,Expense,Liabilities,11/24/2024,,Work,15
فطار,17,Expense,Liabilities,11/24/2024,,,9
مواصلات الشغل,22,Expense,Liabilities,11/25/2024,,Work,15
مواصلات الشغل,20,Expense,Liabilities,11/26/2024,,Work,15
مواصلات الشغل,20,Expense,Liabilities,11/27/2024,,Work,15
فطار,70,Expense,Liabilities,11/27/2024,,,9
,1500,Income,,11/27/2024,,,42
,100,Expense,Charity,11/27/2024,,Charity,
مواصلات الشغل,27.5,Expense,Liabilities,11/28/2024,,Work,15
تورتة,100,Expense,Spendings,11/29/2024,,,41
شحن فودافون,90,Expense,Liabilities,11/29/2024,,,5
مواصلات الشغل,20,Expense,Liabilities,12/1/2024,,Work,15
مواصلات الشغل,30,Expense,Liabilities,11/30/2024,,Work,15
Salary,7998.75,Income,,12/1/2024,,,43
مواصلات الشغل,31.5,Expense,Liabilities,12/2/2024,,Work,15
Flowers,600,Expense,Liabilities,12/2/2024,,Engagement,41
مواصلات الشغل,20,Expense,Liabilities,12/3/2024,,Work,15
عيش,30,Expense,Liabilities,12/3/2024,,,9
مواصلات الشغل,20,Expense,Liabilities,12/4/2024,,Work,15
مواصلات ,40,Expense,Liabilities,12/5/2024,,,15
جبنة,200,Expense,Spendings,12/5/2024,,,9
شيبسي,120,Expense,Spendings,12/5/2024,,,9
,3700,Income,Liabilities,12/6/2024,,,41
لبس الخطوبة,1200,Expense,Liabilities,12/7/2024,,Engagement,41
خروجة جميلة,650,Expense,Liabilities,12/7/2024,,,11
شيكولاتة الشغل,450,Expense,Liabilities,12/7/2024,,Work,41
مواصلات الشغل,20,Expense,Liabilities,12/8/2024,,Work,15
مواصلات الشغل,20,Expense,Liabilities,12/9/2024,,Work,15
board cups,40,Expense,Spendings,12/9/2024,,Work,
مواصلات الشغل,20,Expense,Liabilities,12/9/2024,,Work,15
مواصلات الشغل,20,Expense,Liabilities,12/10/2024,,Work,15
مواصلات الشغل,20,Expense,Liabilities,12/11/2024,,Work,15
,500,Expense,Charity,12/11/2024,,Charity,
مواصلات الشغل,119.5,Expense,Liabilities,12/12/2024,,Work,15
,400,Expense,Charity,12/13/2024,,Charity,
بن,200,Expense,Spendings,12/12/2024,,Coffee,9
مواصلات ,36,Expense,Liabilities,12/14/2024,,,15
مواصلات الشغل,20,Expense,Liabilities,12/15/2024,,Work,15
flowers ,725,Expense,Spendings,12/15/2024,,,41
مواصلات الشغل,20,Expense,Liabilities,12/16/2024,,Work,15
مواصلات الشغل,20,Expense,Liabilities,12/17/2024,,Work,15
,100,Expense,Charity,12/17/2024,,Charity,
فطار,20,Expense,Spendings,12/17/2024,,,9
error,825.46,Expense,,12/17/2024,,,47
مواصلات الشغل,35,Expense,Liabilities,12/18/2024,,Work,15
مواصلات الشغل,27.5,Expense,Liabilities,12/19/2024,,Work,15
فطار,15,Expense,Liabilities,12/19/2024,,,9
,200,Expense,,12/20/2024,,,
مواصلات,138.5,Expense,Liabilities,12/22/2024,,,15
,475,Expense,Spendings,12/22/2024,,,
مواصلات الشغل,27.5,Expense,Liabilities,12/23/2024,,Work,15
مواصلات الشغل ,32.5,Expense,Liabilities,12/24/2024,,Work,15
,200,Expense,Charity,12/24/2024,,Charity,
مواصلات الشغل ,29.5,Expense,Liabilities,12/25/2024,,Work,15
,1500,Income,,12/25/2024,,,42
مواصلات الشغل ,41,Expense,Liabilities,12/26/2024,,Work,15
بن,209,Expense,Spendings,12/26/2024,,Coffee,9
Vodafone Internet ,75,Expense,Spendings,12/26/2024,,,5
,50,Expense,Spendings,12/26/2024,,,
مواصلات ,36,Expense,Liabilities,12/28/2024,,,15
زيارة,225,Expense,Liabilities,12/28/2024,,,41
مواصلات الشغل ,36,Expense,Liabilities,12/29/2024,,Work,15
,10,Expense,Spendings,12/29/2024,,,
,10995,Income,,12/30/2024,,,43
,200,Expense,Charity,12/30/2024,,Charity,
waffle's,230,Expense,Spendings,12/30/2024,,,9
,400,Expense,Charity,1/1/2025,,,
مواصلات الشغل ,36,Expense,Liabilities,1/1/2025,,Work,15
مواصلات الشغل ,36,Expense,Liabilities,1/2/2025,,Work,15
اكل,40,Expense,Spendings,1/2/2025,,,9
,25,Expense,Spendings,1/4/2025,,,
تسالي,50,Expense,Spendings,1/5/2025,,,
